Id,SalePrice
1461,125377.196
1462,155844.8922
1463,180547.475
1464,188857.3221
1465,194879.2921
1466,186151.9838
1467,176388.8163
1468,174108.4202
1469,179454.399
1470,129323.6796
1471,202765.7637
1472,98747.8774
1473,103471.89
1474,153274.0256
1475,122828.1863
1476,383670.2045
1477,252924.4642
1478,307070.7738
1479,294701.3652
1480,453872.0166
1481,311792.7329
1482,204482.5105
1483,185248.6214
1484,174827.892
1485,177861.3982
1486,199380.3825
1487,314429.8146
1488,239670.8047
1489,208803.0693
1490,224530.298
1491,192761.5394
1492,103309.6771
1493,183604.1769
1494,297272.2016
1495,287577.7376
1496,233199.2737
1497,184339.3862
1498,158027.1964
1499,155063.8286
1500,162767.2961
1501,177026.7197
1502,165547.5216
1503,270946.4491
1504,230032.6152
1505,215078.1523
1506,179106.4973
1507,244905.5462
1508,192889.5657
1509,160255.943
1510,153329.3091
1511,149270.3484
1512,168319.5637
1513,145145.1076
1514,156568.8276
1515,190566.3042
1516,154570.535
1517,154039.0844
1518,135232.956
1519,224733.4006
1520,141635.2266
1521,144071.2381
1522,159458.332
1523,115385.5317
1524,123431.7192
1525,129085.0232
1526,128806.5635
1527,112755.2201
1528,129114.8817
1529,143516.9058
1530,165121.7786
1531,137234.9176
1532,107941.0198
1533,141820.7961
1534,119211.5755
1535,150498.5136
1536,120900.1986
1537,91884.32735
1538,161317.1505
1539,205486.0973
1540,128076.364
1541,142639.3195
1542,136858.8173
1543,195768.6987
1544,88510.1238
1545,109179.7652
1546,125111.6994
1547,136214.2439
1548,131032.0836
1549,115739.2794
1550,140383.9968
1551,119911.761
1552,148760.2441
1553,147565.8774
1554,119246.7097
1555,165418.8442
1556,99100.9918
1557,117822.2973
1558,100336.4161
1559,120533.6641
1560,144639.8227
1561,151458.6181
1562,129210.007
1563,126477.3159
1564,160812.012
1565,159862.9292
1566,223798.5134
1567,89382.46744
1568,214088.5374
1569,147288.2989
1570,140432.9644
1571,131007.0381
1572,145068.7844
1573,234496.3532
1574,131048.3693
1575,221224.1687
1576,241531.6116
1577,198920.9264
1578,150351.5973
1579,147427.2392
1580,186984.2141
1581,146611.0529
1582,127570.7881
1583,321244.1847
1584,239768.3533
1585,140155.7806
1586,88692.44229
1587,112165.3887
1588,144869.1525
1589,104971.7351
